Names,Race or Ethnicity
"Garnett, Margaret M.",White
"Gaughan, Patricia Anne",White
"Geraci, Frank Paul, Jr.",White
"Geraghty, Sarah Elisabeth",White
"Gergel, Richard Mark",White
"Gerrard, John Melvin",White
"Gershon, Nina",White
"Gettleman, Robert William",White
"Gibbons, Julia Smith",White
"Gibney, John Adrian, Jr.",White
"Gibson, Kim R.",White
"Gilbert, John Phil",White
"Gillmor, Helen W.",White
"Gilman, Ronald Lee",White
"Gilstrap, James Rodney",White
"Ginsburg, Douglas Howard",White
"Glasser, Israel Leo",White
"Gleason, Sharon Louise",White
"Godbey, David C.",White
"Gold, Alan Stephen",White
"Goldberg, Mitchell S.",White
"Goldsmith, Mark Allan",White
"Goodwin, Charles Barnes",White
"Goodwin, Joseph Robert",White
"Gordon, Andrew Patrick",White
"Gordon, Leo Maury",White
"Gorsuch, Neil M.",White
"Gorton, Nathaniel M.",White
"Gottschall, Joan B.",White
"Gould, Ronald Murray",White
"Graber, Susan",White
"Graham, James L.",White
"Granade, Callie V.",White
"Grant, Britt Cagle",White
"Grasz, Leonard Steven",White
"Green, Joyce Hens",White
"Greer, J. Ronnie",White
"Griesbach, William C.",White
"Griffin, Richard Allen",White
"Gritzner, James E.",White
"Groh, Gina Marie",White
"Gruender, Raymond W.",White
"Guidry, Greg Gerard",White
"Guy, Ralph B., Jr.",White
"Gwin, James S.",White
"Haddon, Sam E.",White
"Haight, Charles Sherman, Jr.",White
"Haikala, Madeline Hughes",White
"Haines, Stephanie Lou",White
"Hale, David Jason",White
"Hall, James Randal",White
"Hall, Janet C.",White
"Hall, Jennifer Lynne",White
"Halpern, Philip Morgan",White
"Hamilton, David Frank",White
"Hamilton, Jean Constance",White
"Hanen, Andrew S.",White
"Hanes, Elizabeth Wilson",White
"Hanlon, James Patrick",White
"Hansen, David Rasmussen",White
"Hardiman, Thomas Michael",White
"Hardy, William Scott",White
"Harmon, Melinda",White
"Harpool, M. Douglas",White
"Harrington, Edward Francis",White
"Harris, Pamela Ann",White
"Hartz, Harris L.",White
"Harwell, Robert Bryan",White
"Hawkins, Michael Daly",White
"Hayden, Katharine Sweeney",White
"Hayes, William Q.",White
"Haynes, Catharina",White
"Head, Hayden Wilson, Jr.",White
"Heaton, Joe L.",White
"Heil, John Frederick III",White
"Hellerstein, Alvin K.",White
"Helmick, Jeffrey James",White
"Henderson, Karen LeCraft",White
"Hendren, Jimm Larry",White
"Hendricks, Bruce Howe",White
"Hendrix, James Wesley",White
"Herlong, Henry Michael, Jr.",White
"Heytens, Toby Jay",White
"Hickey, Susan Owens",White
"Hicks, Larry R.",White
"Hicks, S. Maurice, Jr.",White
"Higginbotham, Patrick Errol",White
"Higginson, Stephen Andrew",White
"Hillman, Noel Lawrence",White
"Hillman, Timothy Spafard",White
"Hilton, Claude M.",White
"Hinderaker, John Charles",White
"Hinkle, Robert Lewis",White
"Hittner, David",White
"Hogan, Thomas Francis",White
"Holcomb, John William",White
"Holland, H[ezekiah] Russel",White
"Hollander, Ellen Lipton",White
"Holmes, Paul Kinloch III",White
"Hood, Joseph Martin",White
"Hopkins, Virginia Emerson",White
"Horan, Marilyn Jean",White
"Hornak, Mark Raymond",White
"Hornby, David Brock",White
"Hovland, Daniel L.",White
"Howard, Jeffrey R.",White
"Howard, Malcolm Jones",White
"Howell, Beryl Alaine",White
"Huck, Paul C.",White
"Hudson, Henry E.",White
"Huff, Marilyn L.",White
"Huffaker, R. Austin, Jr.",White
"Hughes, Lynn Nettleton",White
"Hughes, Todd Michael",White
"Hull, Frank M.",White
"Hunt, Roger L.",White
"Hunt, Willis B., Jr.",White
"Hurd, David N.",White
"Hurley, Daniel T. K.",White
"Hurley, Denis Reagan",White
"Hurson, Brendan Abell",White
"Hurwitz, Andrew David",White
"Huvelle, Ellen Segal",White
"Ikuta, Sandra Segal",White
"Illston, Susan Yvonne",White
"Immergut, Karin Johanna",White
"Jack, Janis Graham",White
"Jackson, Amy Berman",White
"Jackson, Richard Brooke",White
"Jacobs, Dennis G.",White
"James, Robert Gillespie",White
"Jennings, Rebecca Grady",White
"Johnson, Alan Bond",White
"Johnson, Inge Prytz",White
"Johnson, Kristi Haskins",White
"Johnson, William Paul",White
"Johnston, Iain David",White
"Johnston, Thomas E.",White
"Johnstone, Anthony Devos",White
"Jolly, E. Grady",White
"Jones, Edith Hollan",White
"Jones, James Parker",White
"Jones, Robert Clive",White
"Jones, Robert Edward",White
"Jonker, Robert James",White
"Jordan, Daniel Porter III",White
"Jordan, Kent A.",White
"Jordan, Robert Leon",White
"Jordan, Sean D.",White
"Jorgenson, Cindy K.",White
"Joseph, David Cleveland",White
"Junell, Robert A.",White
"Jung, William Frederic",White
"Kacsmaryk, Matthew Joseph",White
"Kagan, Elena",White
"Kahn, Lawrence E.",White
"Kane, John L., Jr.",White
"Kane, Yvette",White
"Kapala, Frederick J.",White
"Kaplan, Lewis A.",White
"Karas, Kenneth M.",White
"Katsas, Gregory George",White
"Katzmann, Gary S.",White
"Kavanaugh, Brett M.",White
"Kay, Alan Cooke",White
"Kayatta, William Joseph, Jr.",White
"Kays, David Gregory",White
"Kearney, Mark A.",White
"Keeley, Irene Patricia Murphy",White
"Keenan, Barbara Milano",White
"Keenan, John Fontaine",White
"Keller, William Duffy",White
"Kelly, Claire Rita",White
"Kelly, Jane Louise",White
"Kelly, Paul Joseph, Jr.",White
"Kelly, Robert F.",White
"Kelly, Timothy James",White
"Kendall, Virginia Mary",White
"Kennedy, Anthony McLeod",White
"Kennelly, Matthew F.",White
"Kenney, Chad Francis, Sr.",White
"Kern, Terence C.",White
"Kernodle, Jeremy Daniel",White
"Ketchmark, Roseann Ambrosia",White
"Kethledge, Raymond M.",White
"Kimball, Dale A.",White
"Kindred, Joshua Michael",White
"King, Carolyn Dineen",White
"King, James Lawrence",White
"King, Robert Bruce",White
"Kinkeade, James E.",White
"Kirsch, Robert Andrew",White
"Kirsch, Thomas Lee II",White
"Klausner, Robert Gary",White
"Kleeh, Thomas Shawn",White
"Kleinfeld, Andrew Jay",White
"Knepp, James Ray II",White
"Kness, John Fitzgerald",White
"Kobes, Jonathan Allen",White
"Kobick, Julia Eleanor",White
"Kocoras, Charles Petros",White
