,Names,Race or Ethnicity
425,"Hendren, Jimm Larry",White
426,"Hendricks, Bruce Howe",White
427,"Hendrix, James Wesley",White
428,"Herlong, Henry Michael, Jr.",White
429,"Heytens, Toby Jay",White
430,"Hickey, Susan Owens",White
431,"Hicks, Larry R.",White
432,"Hicks, S. Maurice, Jr.",White
433,"Higginbotham, Patrick Errol",White
434,"Higginson, Stephen Andrew",White
435,"Hillman, Noel Lawrence",White
436,"Hillman, Timothy Spafard",White
437,"Hilton, Claude M.",White
438,"Hinderaker, John Charles",White
439,"Hinkle, Robert Lewis",White
440,"Hittner, David",White
441,"Hogan, Thomas Francis",White
442,"Holcomb, John William",White
443,"Holland, H[ezekiah] Russel",White
444,"Hollander, Ellen Lipton",White
445,"Holmes, Paul Kinloch III",White
446,"Hood, Joseph Martin",White
447,"Hopkins, Virginia Emerson",White
448,"Horan, Marilyn Jean",White
449,"Hornak, Mark Raymond",White
450,"Hornby, David Brock",White
451,"Hovland, Daniel L.",White
452,"Howard, Jeffrey R.",White
453,"Howard, Malcolm Jones",White
454,"Howell, Beryl Alaine",White
455,"Huck, Paul C.",White
456,"Hudson, Henry E.",White
457,"Huff, Marilyn L.",White
458,"Huffaker, R. Austin, Jr.",White
459,"Hughes, Lynn Nettleton",White
460,"Hughes, Todd Michael",White
461,"Hull, Frank M.",White
462,"Hunt, Roger L.",White
463,"Hunt, Willis B., Jr.",White
464,"Hurd, David N.",White
465,"Hurley, Daniel T. K.",White
466,"Hurley, Denis Reagan",White
467,"Hurson, Brendan Abell",White
468,"Hurwitz, Andrew David",White
469,"Huvelle, Ellen Segal",White
470,"Ikuta, Sandra Segal",White
471,"Illston, Susan Yvonne",White
472,"Immergut, Karin Johanna",White
473,"Jack, Janis Graham",White
474,"Jackson, Amy Berman",White
475,"Jackson, Richard Brooke",White
476,"Jacobs, Dennis G.",White
477,"James, Robert Gillespie",White
478,"Jennings, Rebecca Grady",White
479,"Johnson, Alan Bond",White
480,"Johnson, Inge Prytz",White
481,"Johnson, Kristi Haskins",White
482,"Johnson, William Paul",White
483,"Johnston, Iain David",White
484,"Johnston, Thomas E.",White
485,"Johnstone, Anthony Devos",White
486,"Jolly, E. Grady",White
487,"Jones, Edith Hollan",White
488,"Jones, James Parker",White
489,"Jones, Robert Clive",White
490,"Jones, Robert Edward",White
491,"Jonker, Robert James",White
492,"Jordan, Daniel Porter III",White
493,"Jordan, Kent A.",White
494,"Jordan, Robert Leon",White
495,"Jordan, Sean D.",White
496,"Jorgenson, Cindy K.",White
497,"Joseph, David Cleveland",White
498,"Junell, Robert A.",White
499,"Jung, William Frederic",White
500,"Kacsmaryk, Matthew Joseph",White
501,"Kagan, Elena",White
502,"Kahn, Lawrence E.",White
503,"Kane, John L., Jr.",White
504,"Kane, Yvette",White
505,"Kapala, Frederick J.",White
506,"Kaplan, Lewis A.",White
507,"Karas, Kenneth M.",White
508,"Katsas, Gregory George",White
509,"Katzmann, Gary S.",White
510,"Kavanaugh, Brett M.",White
511,"Kay, Alan Cooke",White
512,"Kayatta, William Joseph, Jr.",White
513,"Kays, David Gregory",White
514,"Kearney, Mark A.",White
515,"Keeley, Irene Patricia Murphy",White
516,"Keenan, Barbara Milano",White
517,"Keenan, John Fontaine",White
518,"Keller, William Duffy",White
519,"Kelly, Claire Rita",White
520,"Kelly, Jane Louise",White
521,"Kelly, Paul Joseph, Jr.",White
522,"Kelly, Robert F.",White
523,"Kelly, Timothy James",White
524,"Kendall, Virginia Mary",White
525,"Kennedy, Anthony McLeod",White
526,"Kennelly, Matthew F.",White
527,"Kenney, Chad Francis, Sr.",White
528,"Kern, Terence C.",White
529,"Kernodle, Jeremy Daniel",White
530,"Ketchmark, Roseann Ambrosia",White
531,"Kethledge, Raymond M.",White
532,"Kimball, Dale A.",White
533,"Kindred, Joshua Michael",White
534,"King, Carolyn Dineen",White
535,"King, James Lawrence",White
536,"King, Robert Bruce",White
537,"Kinkeade, James E.",White
538,"Kirsch, Robert Andrew",White
539,"Kirsch, Thomas Lee II",White
540,"Klausner, Robert Gary",White
541,"Kleeh, Thomas Shawn",White
542,"Kleinfeld, Andrew Jay",White
543,"Knepp, James Ray II",White
544,"Kness, John Fitzgerald",White
545,"Kobes, Jonathan Allen",White
546,"Kobick, Julia Eleanor",White
547,"Kocoras, Charles Petros",White
548,"Koeltl, John George",White
549,"Kollar-Kotelly, Colleen",White
550,"Komitee, Eric Ross",White
551,"Kopf, Richard George",White
552,"Korman, Edward Robert",White
553,"Kornmann, Charles B.",White
554,"Kovachevich, Elizabeth Anne",White
555,"Kovner, Rachel Peter",White
556,"Krause, Cheryl Ann",White
557,"Krieger, Marcia S.",White
558,"Kronstadt, John Arnold",White
559,"Kugler, Robert B.",White
560,"Lake, Simeon Timothy III",White
561,"Lamberth, Royce C.",White
562,"Land, Clay D.",White
563,"Lange, Roberto Antonio",White
564,"Lanza, Dominic William",White
565,"Laplante, Joseph Normand",White
566,"Larimer, David G.",White
567,"Larsen, Joan Louise",White
568,"Lasnik, Robert S.",White
569,"Lauck, M[ary] Hannah",White
570,"Laughrey, Nanette Kay",White
571,"Lawless, Colleen Rae",White
572,"Lawrence, William T.",White
573,"Lawson, David M.",White
574,"Lawson, Hugh",White
575,"Lazzara, Richard A.",White
576,"Lee, Tom Stewart",White
577,"Lee, William Charles",White
578,"Leeson, Joseph F., Jr.",White
579,"Lefkow, Joan Humphrey",White
580,"Leichty, Damon Ray",White
581,"Leinenweber, Harry Daniel",White
582,"Leitman, Matthew Frederick",White
583,"Lemmon, Mary Ann Vial",White
584,"Lenard, Joan A.",White
585,"Leon, Richard J.",White
586,"Leonard, Timothy D.",White
587,"Leval, Pierre Nelson",White
588,"Levy, Jon David",White
589,"Levy, Judith Ellen",White
590,"Lewis, Mary Geiger",White
591,"Liburdi, Michael Thomas",White
592,"Liman, Lewis Jeffrey",White
593,"Limbaugh, Stephen Nathaniel, Jr.",White
594,"Linn, Richard",White
595,"Lioi, Sara Elizabeth",White
596,"Lipez, Kermit Victor",White
597,"Lipman, Sheryl Halle",White
598,"Lisi, Mary M.",White
