State,Names,Gender
Western Washington,"Cartwright, Tiffany Mae",Female
Western Washington,"Chun, John Hyungseung",Male
Western Washington,"Coughenour, John C.",Male
Western Washington,"Dimmick, Carolyn R.",Female
Western Washington,"Estudillo, David",Male
Western Washington,"Evanson, Kymberly Kathryn",Female
Western Washington,"Jones, Richard A.",Male
Western Washington,"King, Lauren Jennifer",Female
Western Washington,"Lasnik, Robert S.",Male
Western Washington,"Lin, Tana",Female
Western Washington,"Martinez, Ricardo S.",Male
Western Washington,"Pechman, Marsha J.",Female
Western Washington,"Robart, James L.",Male
Western Washington,"Rothstein, Barbara Jacobs",Female
Western Washington,"Settle, Benjamin Hale",Male
Western Washington,"Whitehead, Jamal Norman",Male
Western Washington,"Zilly, Thomas Samuel",Male
Western Texas,"Albright, Alan D",Male
Western Texas,"Biery, Samuel Frederick, Jr.",Male
Western Texas,"Briones, David",Male
Western Texas,"Cardone, Kathleen",Female
Western Texas,"Counts, Walter David III",Male
Western Texas,"Garcia, Orlando Luis",Male
Western Texas,"Guaderrama, David Campos",Male
Western Texas,"Junell, Robert A.",Male
Western Texas,"Montalvo, Frank",Male
Western Texas,"Moses, Alia",Female
Western Texas,"Nowlin, James Robertson",Male
Western Texas,"Pitman, Robert Lee",Male
Western Texas,"Pulliam, Jason Kenneth",Male
Western Texas,"Rodriguez, Xavier",Male
Western Texas,"Sparks, Sam",Male
Western_New_Jersey,,Female
Western Tennessee,"Anderson, Stanley Thomas",Male
Western Tennessee,"Breen, J. Daniel",Male
Western Tennessee,"Fowlkes, John Thomas, Jr.",Male
Western Tennessee,"Lipman, Sheryl Halle",Female
Western Tennessee,"Mays, Samuel H., Jr.",Male
Western Tennessee,"McCalla, Jon Phipps",Male
Western Tennessee,"Norris, Mark Saalfield, Sr.",Male
Western Tennessee,"Parker, Thomas Lee Robinson",Male
Western Tennessee,"Todd, James Dale",Male
Southern_Iowa,"Ebinger, Rebecca Goodgame",Female
Southern_Iowa,"Gritzner, James E.",Male
Southern_Iowa,"Locher, Stephen Henley",Male
Southern_Iowa,"Longstaff, Ronald Earl",Male
Southern_Iowa,"Pratt, Robert W.",Male
Southern_Iowa,"Rose, Stephanie Marie",Female
Southern_Ohio,"Barrett, Michael Ryan",Male
Southern_Ohio,"Beckwith, Sandra Shank",Female
Southern_Ohio,"Black, Timothy Seymour",Male
Southern_Ohio,"Cole, Douglas Russell",Male
Southern_Ohio,"Dlott, Susan J.",Female
Southern_Ohio,"Graham, James L.",Male
Southern_Ohio,"Hopkins, Jeffery Paul",Male
Southern_Ohio,"Marbley, Algenon L.",Male
Southern_Ohio,"McFarland, Matthew Walden",Male
Southern_Ohio,"Morrison, Sarah Daggett",Female
Southern_Ohio,"Newman, Michael Jay",Male
Southern_Ohio,"Rice, Walter Herbert",Male
Southern_Ohio,"Rose, Thomas M.",Male
Southern_Ohio,"Sargus, Edmund A., Jr.",Male
Southern_Ohio,"Watson, Michael H.",Male
Southern_Ohio,"Weber, Herman Jacob",Male
Alaska,"Beistline, Ralph R.",Male
Alaska,"Burgess, Timothy Mark",Male
Alaska,"Gleason, Sharon Louise",Female
Alaska,"Holland, H[ezekiah] Russel",Male
Alaska,"Kindred, Joshua Michael",Male
Alaska,"Sedwick, John W.",Male
Alaska,"Singleton, James Keith, Jr.",Male
Northern_Oklahoma,"Dowdell, John Edward",Male
Northern_Oklahoma,"Eagan, Claire",Female
Northern_Oklahoma,"Frizzell, Gregory Kent",Male
Northern_Oklahoma,"Heil, John Frederick III",Male
Northern_Oklahoma,"Kern, Terence C.",Male
Northern_Oklahoma,"Payne, James H.",Male
Idaho,"Brailsford, Amanda Kathleen",Female
Idaho,"Lodge, Edward J.",Male
Idaho,"Nye, David Charles",Male
Idaho,"Winmill, B. Lynn",Male
Southern_Florida,"Altman, Roy Kalman",Male
Southern_Florida,"Altonaga, Cecilia M.",Female
Southern_Florida,"Bloom, Beth Francine",Female
Southern_Florida,"Cannon, Aileen Mercedes",Female
Southern_Florida,"Cohn, James I.",Male
Southern_Florida,"Dimitrouleas, William P.",Male
Southern_Florida,"Gayles, Darrin Phillip",Male
Southern_Florida,"Gold, Alan Stephen",Male
Southern_Florida,"Gonzalez, Jose Alejandro, Jr.",Male
Southern_Florida,"Graham, Donald L.",Male
Southern_Florida,"Huck, Paul C.",Male
Southern_Florida,"Hurley, Daniel T. K.",Male
Southern_Florida,"King, James Lawrence",Male
Southern_Florida,"Lenard, Joan A.",Female
Southern_Florida,"Marra, Kenneth A.",Male
Southern_Florida,"Martinez, Jose E.",Male
Southern_Florida,"Middlebrooks, Donald M.",Male
Southern_Florida,"Moore, Kevin Michael",Male
Southern_Florida,"Moreno, Federico A.",Male
Southern_Florida,"Rosenberg, Robin Lee",Female
Southern_Florida,"Ruiz, Rodolfo Armando II",Male
Southern_Florida,"Scola, Robert Nichols, Jr.",Male
Southern_Florida,"Seitz, Patricia A.",Female
Southern_Florida,"Singhal, Anuraag Hari",Male
Southern_Florida,"Smith, Rodney",Male
Southern_Florida,"Williams, Kathleen Mary",Female
Southern_Florida,"Zloch, William J.",Male
Western Wisconsin,"Conley, William Martin",Male
Western Wisconsin,"Crabb, Barbara Brandriff",Female
Western Wisconsin,"Peterson, James Donald",Male
Northern_Ohio,"Adams, John R.",Male
Northern_Ohio,"Barker, Pamela Ann",Female
Northern_Ohio,"Boyko, Christopher A.",Male
Northern_Ohio,"Brennan, Bridget Meehan",Female
Northern_Ohio,"Calabrese, J. Philip",Male
Northern_Ohio,"Carr, James G.",Male
Northern_Ohio,"Economus, Peter C.",Male
Northern_Ohio,"Fleming, Charles Esque",Male
Northern_Ohio,"Gaughan, Patricia Anne",Female
Northern_Ohio,"Gwin, James S.",Male
Northern_Ohio,"Helmick, Jeffrey James",Male
Northern_Ohio,"Knepp, James Ray II",Male
Northern_Ohio,"Lioi, Sara Elizabeth",Female
Northern_Ohio,"Nugent, Donald C.",Male
Northern_Ohio,"Oliver, Solomon, Jr.",Male
Northern_Ohio,"Pearson, Benita Yalonda",Female
Northern_Ohio,"Polster, Dan A.",Male
Northern_Ohio,"Ruiz, David Augustin",Male
Northern_Ohio,"Zouhary, Jack",Male
Hawaii,"Ezra, David Alan",Male
Hawaii,"Gillmor, Helen W.",Female
Hawaii,"Kay, Alan Cooke",Male
Hawaii,"Kobayashi, Leslie Emi",Female
Hawaii,"Mollway, Susan Oki",Female
Hawaii,"Otake, Jill Aiko",Female
Hawaii,"Park, Shanlyn Alohakeao Souza",Female
Hawaii,"Seabright, J[ohn] Michael",Male
Hawaii,"Smith, Micah William Janso",Male
Hawaii,"Watson, Derrick Kahala",Male
Orleans_names,,Female
Eastern_Louisiana,"Africk, Lance M.",Male
Eastern_Louisiana,"Ashe, Barry Weldon",Male
Eastern_Louisiana,"Barbier, Carl J.",Male
Eastern_Louisiana,"Berrigan, Helen Ginger",Female
Eastern_Louisiana,"Brown, Nannette Jolivette",Female
Eastern_Louisiana,"Fallon, Eldon E.",Male
Eastern_Louisiana,"Guidry, Greg Gerard",Male
Eastern_Louisiana,"Lemelle, Ivan L. R.",Male
Eastern_Louisiana,"Lemmon, Mary Ann Vial",Female
Eastern_Louisiana,"Milazzo, Jane Margaret Triche",Female
Eastern_Louisiana,"Morgan, Susie",Female
Eastern_Louisiana,"Papillion, Darrel James",Male
Eastern_Louisiana,"Vance, Sarah S.",Female
Eastern_Louisiana,"Vitter, Wendy Baldwin",Female
Eastern_Louisiana,"Zainey, Jay C.",Male
Delaware,"Andrews, Richard Gibson",Male
Delaware,"Connolly, Colm Felix",Male
Delaware,"Hall, Jennifer Lynne",Female
Delaware,"Longobardi, Joseph J.",Male
Delaware,"Noreika, Maryellen",Female
Delaware,"Williams, Gregory Brian",Male
Eastern_Missouri,"Autrey, Henry Edward",Male
Eastern_Missouri,"Clark, Stephen Robert, Sr.",Male
Eastern_Missouri,"Filippine, Edward Louis",Male
Eastern_Missouri,"Fleissig, Audrey Goldstein",Female
Eastern_Missouri,"Hamilton, Jean Constance",Female
Eastern_Missouri,"Laughrey, Nanette Kay",Female
Eastern_Missouri,"Limbaugh, Stephen Nathaniel, Jr.",Male
Eastern_Missouri,"Perry, Catherine D.",Female
Eastern_Missouri,"Pitlyk, Sarah Elizabeth",Female
Eastern_Missouri,"Ross, John Andrew",Male
Eastern_Missouri,"Schelp, Matthew Thomas",Male
Eastern_Missouri,"Sippel, Rodney W.",Male
Eastern_Missouri,"Webber, E. Richard",Male
Eastern_Missouri,"White, Ronnie Lee",Male
Eastern_Missouri,"Wimes, Brian Curtis",Male
Western_Oklahoma,"Alley, Wayne Edward",Male
Western_Oklahoma,"Cauthron, Robin J.",Female
Western_Oklahoma,"DeGiusti, Timothy D.",Male
Western_Oklahoma,"Dishman, Jodi Warmbrod",Female
Western_Oklahoma,"Friot, Stephen P.",Male
Western_Oklahoma,"Goodwin, Charles Barnes",Male
Western_Oklahoma,"Heaton, Joe L.",Male
Western_Oklahoma,"Heil, John Frederick III",Male
Western_Oklahoma,"Jones, Bernard M.",Male
Western_Oklahoma,"Leonard, Timothy D.",Male
Western_Oklahoma,"Miles-LaGrange, Vicki",Female
Western_Oklahoma,"Palk, Scott Lawrence",Male
Western_Oklahoma,"Payne, James H.",Male
Western_Oklahoma,"Russell, David Lynn",Male
Western_Oklahoma,"Wyrick, Patrick Robert",Male
Western_Kentucky,"Beaton, Benjamin Joel",Male
Western_Kentucky,"Boom, Claria Horn",Female
Western_Kentucky,"Hale, David Jason",Male
Western_Kentucky,"Jennings, Rebecca Grady",Female
Western_Kentucky,"McKinley, Joseph H., Jr.",Male
Western_Kentucky,"Simpson, Charles Ralph III",Male
Western_Kentucky,"Stivers, Gregory N.",Male
Western_South_Carolina,,Female
Eastern_New_York,"Amon, Carol Bagley",Female
Eastern_New_York,"Azrack, Joan Marie",Female
Eastern_New_York,"Block, Frederic",Male
Eastern_New_York,"Brodie, Margo Kitsy",Female
Eastern_New_York,"Brown, Gary Richard",Male
