State,Names,Gender,Race and Ethnicity
Maine,"Singal, George Z.",Male,White
Maine,"Levy, Jon David",Male,White
Maryland,"Nickerson, William M.",Male,White
Maryland,"Xinis, Paula",Female,White
Maryland,"Bennett, Richard D.",Male,White
Maryland,"Blake, Catherine C.",Female,White
Maryland,"Boardman, Deborah Lynn",Female,White
Maryland,"Bredar, James Kelleher",Male,White
Maryland,"Chasanow, Deborah K.",Female,White
Maryland,"Griggsby, Lydia Kay",Female,
Maryland,"Gallagher, Stephanie Agli",Female,White
Maryland,"Hollander, Ellen Lipton",Female,White
Maryland,"Hurson, Brendan Abell",Male,White
Maryland,"Maddox, Matthew James",Male,African American
Maryland,"Messitte, Peter Jo",Male,White
Maryland,"Russell, George Levi III",Male,African American
Maryland,"Rubin, Julie Rebecca",Female,White
Maryland,"Chuang, Theodore David",Male,
Massachusetts,"Burroughs, Allison Dale",Female,White
Massachusetts,"Casper, Denise Jefferson",Female,African American
Massachusetts,"Guzman, Margaret Rose",Female,
Massachusetts,"Gorton, Nathaniel M.",Male,White
Massachusetts,"Mastroianni, Mark Gerald",Male,White
Massachusetts,"Wolf, Mark Lawrence",Male,White
Massachusetts,"Talwani, Indira",Female,
Massachusetts,"Stearns, Richard Gaylore",Male,White
Massachusetts,"Sorokin, Leo Theodore",Male,White
Massachusetts,"Zobel, Rya Weickert",Female,White
Massachusetts,"Saylor, F. Dennis IV",Male,White
Massachusetts,"Saris, Patti B.",Female,White
Massachusetts,"Ponsor, Michael Adrian",Male,White
Massachusetts,"O'Toole, George A., Jr.",Male,White
Massachusetts,"Woodlock, Douglas Preston",Male,White
Massachusetts,"Young, William G.",Male,White
Massachusetts,"Joun, Myong Jin",Male,
Massachusetts,"Harrington, Edward Francis",Male,White
Massachusetts,"Kobick, Julia Eleanor",Female,White
Massachusetts,"Hillman, Timothy Spafard",Male,White
Massachusetts,"Kelley, Angel",Female,
Middle North Carolina,"Tilley, Norwood Carlton, Jr.",Male,White
Middle North Carolina,"Schroeder, Thomas D.",Male,White
Middle North Carolina,"Osteen, William Lindsay, Jr.",Male,White
Middle North Carolina,"Eagles, Catherine Caldwell",Female,White
Middle North Carolina,"Biggs, Loretta Copeland",Female,African American
Middle Pennsylvania,"Munley, Julia Kathleen",Female,White
Middle Pennsylvania,"Rambo, Sylvia H.",Female,White
Middle Pennsylvania,"Wilson, Jennifer Philpott",Female,White
Middle Pennsylvania,"Kane, Yvette",Female,White
Middle Pennsylvania,"Mariani, Robert David",Male,White
Middle Pennsylvania,"Mannion, Malachy Edward",Male,White
Middle Pennsylvania,"Brann, Matthew William",Male,White
Middle Pennsylvania,"Conner, Christopher C.",Male,White
Middle Tennessee,"Richardson, Eli Jeremy",Male,White
Middle Tennessee,"Crenshaw, Waverly David, Jr.",Male,African American
Middle Tennessee,"Campbell, William Lynn, Jr.",Male,White
Middle Tennessee,"Trauger, Aleta Arthur",Female,White
Middle Alabama,"Thompson, Myron Herbert",Male,African American
Middle Alabama,"Steele, William H.",Male,White
Middle Alabama,"Granade, Callie V.",Female,White
Middle Alabama,"Moorer, Terry Fitzgerald",Male,African American
Middle Alabama,"Butler, Charles Randolph, Jr.",Male,White
Middle Alabama,"Beaverstock, Jeffrey Uhlman",Male,White
Middle Alabama,"Albritton, William Harold III",Male,White
Middle Alabama,"Huffaker, R. Austin, Jr.",Male,White
Middle Alabama,"Marks, Emily Coody",Female,White
Middle Alabama,"DuBose, Kristi",Female,White
Middle Alabama,"Watkins, William Keith",Male,White
Middle Florida,"Badalamenti, John Leonard",Male,White
Middle Florida,"Antoon, John II",Male,White
Middle Florida,"Adams, Henry Lee, Jr.",Male,African American
Middle Florida,"Bucklew, Susan C.",Female,White
Middle Florida,"Fawsett, Patricia C.",Female,White
Middle Florida,"Merryday, Steven Douglas",Male,White
Middle Florida,"Honeywell, Charlene Vanessa Edwards",Female,African American
Middle Florida,"Howard, Marcia Morales",Female,Hispanic
Middle Florida,"Jung, William Frederic",Male,White
Middle Florida,"Kovachevich, Elizabeth Anne",Female,White
Middle Florida,"Lazzara, Richard A.",Male,White
Middle Florida,"Davis, Brian Jordan",Male,African American
Middle Florida,"Berger, Wendy Williams",Female,White
Middle Florida,"Steele, John E.",Male,White
Middle Florida,"Scriven, Mary Stenson",Female,African American
Middle Florida,"Schlesinger, Harvey Erwin",Male,White
Middle Florida,"Presnell, Gregory A.",Male,White
Middle Florida,"Moody, James S., Jr.",Male,White
Middle Florida,"Mizelle, Kathryn Kimball",Female,White
Middle Florida,"Whittemore, James D.",Male,White
Middle Florida,"Dalton, Roy Bale, Jr.",Male,White
Middle Florida,"Mendoza, Carlos Eduardo",Male,Hispanic
Middle Florida,"Corrigan, Timothy J.",Male,White
Middle Florida,"Byron, Paul Gregory",Male,White
Middle Florida,"Chappell, Sheri Polster",Female,White
Middle Florida,"Conway, Anne C.",Female,White
Middle Florida,"Barber, Thomas Patrick",Male,White
Middle Florida,"Covington, Virginia Maria Hernandez",Female,Hispanic
Middle Georgia,"Treadwell, Marc Thomas",Male,White
Middle Georgia,"Self, Tilman Eugene III",Male,White
Middle Georgia,"Sands, W[illie] Louis",Male,African American
Middle Georgia,"Royal, C. Ashley",Male,White
Middle Georgia,"Gardner, Leslie Abrams",Female,African American
Middle Georgia,"Land, Clay D.",Male,White
Middle Georgia,"Lawson, Hugh",Male,White
Middle Louisiana,"Foote, Elizabeth Erny",Female,White
Middle Louisiana,"Hicks, S. Maurice, Jr.",Male,White
Middle Louisiana,"James, Robert Gillespie",Male,White
Middle Louisiana,"Joseph, David Cleveland",Male,White
Middle Louisiana,"Drell, Dee D.",Male,White
Middle Louisiana,"Doughty, Terry Alvin",Male,White
Middle Louisiana,"Cain, James David, Jr.",Male,White
Middle Louisiana,"Melancon, Tucker L.",Male,White
