State,Names,Gender,Race and Ethnicity
Western Washington,"Pechman, Marsha J.",Female,White
Western Washington,"Robart, James L.",Male,White
Western Washington,"Rothstein, Barbara Jacobs",Female,White
Western Washington,"Settle, Benjamin Hale",Male,White
Western Washington,"Whitehead, Jamal Norman",Male,African American
Western Washington,"Zilly, Thomas Samuel",Male,White
Western Texas,"Albright, Alan D",Male,White
Western Texas,"Biery, Samuel Frederick, Jr.",Male,White
Western Texas,"Briones, David",Male,Hispanic
Western Texas,"Cardone, Kathleen",Female,Hispanic
Western Texas,"Counts, Walter David III",Male,White
Western Texas,"Garcia, Orlando Luis",Male,Hispanic
Western Texas,"Guaderrama, David Campos",Male,Hispanic
Western Texas,"Junell, Robert A.",Male,White
Western Texas,"Montalvo, Frank",Male,Hispanic
Western Texas,"Moses, Alia",Female,Hispanic
Western Texas,"Nowlin, James Robertson",Male,White
Western Texas,"Pitman, Robert Lee",Male,White
Western Texas,"Pulliam, Jason Kenneth",Male,African American
Western Texas,"Rodriguez, Xavier",Male,Hispanic
Western Texas,"Sparks, Sam",Male,White
Western_New_Jersey,,Female,
Western Tennessee,"Anderson, Stanley Thomas",Male,White
Western Tennessee,"Breen, J. Daniel",Male,White
Western Tennessee,"Fowlkes, John Thomas, Jr.",Male,African American
Western Tennessee,"Lipman, Sheryl Halle",Female,White
Western Tennessee,"Mays, Samuel H., Jr.",Male,White
Western Tennessee,"McCalla, Jon Phipps",Male,White
Western Tennessee,"Norris, Mark Saalfield, Sr.",Male,White
Western Tennessee,"Parker, Thomas Lee Robinson",Male,White
Western Tennessee,"Todd, James Dale",Male,White
Southern_Iowa,"Ebinger, Rebecca Goodgame",Female,White
Southern_Iowa,"Gritzner, James E.",Male,White
Southern_Iowa,"Locher, Stephen Henley",Male,White
Southern_Iowa,"Longstaff, Ronald Earl",Male,White
Southern_Iowa,"Pratt, Robert W.",Male,White
Southern_Iowa,"Rose, Stephanie Marie",Female,White
Southern_Ohio,"Barrett, Michael Ryan",Male,White
Southern_Ohio,"Beckwith, Sandra Shank",Female,White
Southern_Ohio,"Black, Timothy Seymour",Male,White
Southern_Ohio,"Cole, Douglas Russell",Male,White
Southern_Ohio,"Dlott, Susan J.",Female,White
Southern_Ohio,"Graham, James L.",Male,White
Southern_Ohio,"Hopkins, Jeffery Paul",Male,African American
Southern_Ohio,"Marbley, Algenon L.",Male,African American
Southern_Ohio,"McFarland, Matthew Walden",Male,White
Southern_Ohio,"Morrison, Sarah Daggett",Female,White
Southern_Ohio,"Newman, Michael Jay",Male,White
Southern_Ohio,"Rice, Walter Herbert",Male,White
Southern_Ohio,"Rose, Thomas M.",Male,White
Southern_Ohio,"Sargus, Edmund A., Jr.",Male,White
Southern_Ohio,"Watson, Michael H.",Male,White
Southern_Ohio,"Weber, Herman Jacob",Male,White
Alaska,"Beistline, Ralph R.",Male,White
Alaska,"Burgess, Timothy Mark",Male,White
Alaska,"Gleason, Sharon Louise",Female,White
Alaska,"Holland, H[ezekiah] Russel",Male,White
Alaska,"Kindred, Joshua Michael",Male,White
Alaska,"Sedwick, John W.",Male,White
Alaska,"Singleton, James Keith, Jr.",Male,White
Northern_Oklahoma,"Dowdell, John Edward",Male,White
Northern_Oklahoma,"Eagan, Claire",Female,White
Northern_Oklahoma,"Frizzell, Gregory Kent",Male,White
Northern_Oklahoma,"Heil, John Frederick III",Male,White
Northern_Oklahoma,"Kern, Terence C.",Male,White
Northern_Oklahoma,"Payne, James H.",Male,White
Idaho,"Brailsford, Amanda Kathleen",Female,White
Idaho,"Lodge, Edward J.",Male,White
Idaho,"Nye, David Charles",Male,White
Idaho,"Winmill, B. Lynn",Male,White
Southern_Florida,"Altman, Roy Kalman",Male,Hispanic
Southern_Florida,"Altonaga, Cecilia M.",Female,Hispanic
Southern_Florida,"Bloom, Beth Francine",Female,White
Southern_Florida,"Cannon, Aileen Mercedes",Female,
Southern_Florida,"Cohn, James I.",Male,White
Southern_Florida,"Dimitrouleas, William P.",Male,White
Southern_Florida,"Gayles, Darrin Phillip",Male,African American
Southern_Florida,"Gold, Alan Stephen",Male,White
Southern_Florida,"Gonzalez, Jose Alejandro, Jr.",Male,Hispanic
Southern_Florida,"Graham, Donald L.",Male,African American
Southern_Florida,"Huck, Paul C.",Male,White
Southern_Florida,"Hurley, Daniel T. K.",Male,White
Southern_Florida,"King, James Lawrence",Male,White
Southern_Florida,"Lenard, Joan A.",Female,White
Southern_Florida,"Marra, Kenneth A.",Male,White
Southern_Florida,"Martinez, Jose E.",Male,Hispanic
Southern_Florida,"Middlebrooks, Donald M.",Male,White
Southern_Florida,"Moore, Kevin Michael",Male,White
Southern_Florida,"Moreno, Federico A.",Male,Hispanic
Southern_Florida,"Rosenberg, Robin Lee",Female,White
Southern_Florida,"Ruiz, Rodolfo Armando II",Male,Hispanic
Southern_Florida,"Scola, Robert Nichols, Jr.",Male,White
Southern_Florida,"Seitz, Patricia A.",Female,White
Southern_Florida,"Singhal, Anuraag Hari",Male,
Southern_Florida,"Smith, Rodney",Male,African American
Southern_Florida,"Williams, Kathleen Mary",Female,White
Southern_Florida,"Zloch, William J.",Male,White
Western Wisconsin,"Conley, William Martin",Male,White
Western Wisconsin,"Crabb, Barbara Brandriff",Female,White
Western Wisconsin,"Peterson, James Donald",Male,White
