White
"Kayatta, William Joseph, Jr."
"Kays, David Gregory"
"Kearney, Mark A."
"Keeley, Irene Patricia Murphy"
"Keenan, Barbara Milano"
"Keenan, John Fontaine"
"Keller, William Duffy"
"Kelly, Claire Rita"
"Kelly, Jane Louise"
"Kelly, Paul Joseph, Jr."
"Kelly, Robert F."
"Kelly, Timothy James"
"Kendall, Virginia Mary"
"Kennedy, Anthony McLeod"
"Kennelly, Matthew F."
"Kenney, Chad Francis, Sr."
"Kern, Terence C."
"Kernodle, Jeremy Daniel"
"Ketchmark, Roseann Ambrosia"
"Kethledge, Raymond M."
"Kimball, Dale A."
"Kindred, Joshua Michael"
"King, Carolyn Dineen"
"King, James Lawrence"
"King, Robert Bruce"
"Kinkeade, James E."
"Kirsch, Robert Andrew"
"Kirsch, Thomas Lee II"
"Klausner, Robert Gary"
"Kleeh, Thomas Shawn"
"Kleinfeld, Andrew Jay"
"Knepp, James Ray II"
"Kness, John Fitzgerald"
"Kobes, Jonathan Allen"
"Kobick, Julia Eleanor"
"Kocoras, Charles Petros"
"Koeltl, John George"
"Kollar-Kotelly, Colleen"
"Komitee, Eric Ross"
"Kopf, Richard George"
"Korman, Edward Robert"
"Kornmann, Charles B."
"Kovachevich, Elizabeth Anne"
"Kovner, Rachel Peter"
"Krause, Cheryl Ann"
"Krieger, Marcia S."
"Kronstadt, John Arnold"
"Kugler, Robert B."
"Lake, Simeon Timothy III"
"Lamberth, Royce C."
"Land, Clay D."
"Lange, Roberto Antonio"
"Lanza, Dominic William"
"Laplante, Joseph Normand"
"Larimer, David G."
"Larsen, Joan Louise"
"Lasnik, Robert S."
"Lauck, M[ary] Hannah"
"Laughrey, Nanette Kay"
"Lawless, Colleen Rae"
"Lawrence, William T."
"Lawson, David M."
"Lawson, Hugh"
"Lazzara, Richard A."
"Lee, Tom Stewart"
"Lee, William Charles"
"Leeson, Joseph F., Jr."
"Lefkow, Joan Humphrey"
"Leichty, Damon Ray"
"Leinenweber, Harry Daniel"
"Leitman, Matthew Frederick"
"Lemmon, Mary Ann Vial"
"Lenard, Joan A."
"Leon, Richard J."
"Leonard, Timothy D."
"Leval, Pierre Nelson"
"Levy, Jon David"
"Levy, Judith Ellen"
"Lewis, Mary Geiger"
"Liburdi, Michael Thomas"
"Liman, Lewis Jeffrey"
"Limbaugh, Stephen Nathaniel, Jr."
"Linn, Richard"
"Lioi, Sara Elizabeth"
"Lipez, Kermit Victor"
"Lipman, Sheryl Halle"
"Lisi, Mary M."
"Livingston, Debra Ann"
"Locher, Stephen Henley"
"Lodge, Edward J."
"Loken, James B."
"Longobardi, Joseph J."
"Longstaff, Ronald Earl"
"Lorenz, M. James"
"Lourie, Alan David"
"Luck, Robert Joshua"
"Ludington, Thomas Lamson"
"Ludwig, Brett Harry"
"Lungstrum, John Watson"
"Lydon, Sherri Allen"
"Lynch, Gerard E."
"Lynch, Sandra Lea"
"Lynn, Barbara M."
"Magnus-Stinson, Jane Elizabeth"
"Magnuson, Paul Arthur"
"Mahan, James C."
"Maloney, Paul Lewis"
"Maloney, Robert B."
"Manasco, Anna Marie"
"Manion, Daniel Anthony"
"Mannion, Malachy Edward"
"Marcus, Stanley"
"Mariani, Robert David"
"Marks, Emily Coody"
"Marovich, George Michael"
"Marra, Kenneth A."
"Marsh, Malcolm Francis"
"Marshall, Denzil Price, Jr."
"Marston, Karen Spencer"
"Martini, William J."
"Martinotti, Brian R."
"Martone, Frederick J."
"Mastroianni, Mark Gerald"
"Matey, Paul Brian"
"Matheson, Scott Milne, Jr."
"Mauskopf, Roslynn Renee"
"May, Leigh Martin"
"Mayer, Haldane Robert"
"Mays, Samuel H., Jr."
"Maze, Corey Landon"
